2014-10-16 22:43:42,333 [Worker-66] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/xml-apis/xml-apis/1.4.01/xml-apis-1.4.01.jar
2014-10-16 22:43:43,507 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:43:43,508 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-16 22:43:43,509 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:43:43,509 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-16 22:43:43,510 [Worker-66] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of roselle
2014-10-16 22:43:43,540 [Worker-66] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for roselle
2014-10-16 22:43:43,545 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:43:43,590 [Worker-66] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2014-10-16 22:43:43,690 [Worker-66] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 22:43:44,236 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /roselle/src/main/java
2014-10-16 22:43:44,236 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /roselle/src/main/resources overlaps with sources folder /roselle/src/main/resources
2014-10-16 22:43:44,237 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /roselle/src/test/java
2014-10-16 22:43:44,237 [Worker-66] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /roselle/src/test/resources overlaps with sources folder /roselle/src/test/resources
2014-10-16 22:43:44,991 [Worker-66] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 22:43:45,502 [Worker-66] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for roselle
2014-10-16 22:43:45,505 [Worker-66] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2014-10-16 22:43:46,506 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:43:46,507 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-10-16 22:43:46,511 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:43:46,511 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 22:44:28,704 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:44:28,706 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 22:44:28,709 [Worker-71] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:44:28,710 [Worker-71] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-16 22:46:14,202 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 22:46:14,204 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 22:46:14,207 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
